day,grand total
1/12/2023,1591
1/12/2023,3185
1/12/2023,14333
1/12/2023,1594
1/12/2023,12735
1/12/2023,1592
1/12/2023,1592
1/12/2023,1594
1/12/2023,3188
1/12/2023,1597
1/12/2023,1599
1/12/2023,1597
1/12/2023,3198
1/12/2023,1595
1/12/2023,1600
1/12/2023,3185
1/12/2023,12739
1/12/2023,3195
1/12/2023,1599
1/12/2023,1599
1/12/2023,1599
1/12/2023,1593
1/12/2023,9543
1/12/2023,11140
1/12/2023,1594
1/12/2023,11153
1/12/2023,9554
1/12/2023,9554
1/12/2023,1592
1/12/2023,9554
1/12/2023,7960
1/12/2023,1591
1/12/2023,15923
1/12/2023,1599
1/12/2023,3197
1/12/2023,1599
1/12/2023,1599
1/12/2023,1595
1/12/2023,1597
1/12/2023,1593
1/12/2023,1590
1/12/2023,3185
1/12/2023,4095
1/12/2023,30524
1/12/2023,4159
1/12/2023,9120
1/12/2023,14319
1/12/2023,1950
1/12/2023,11265
1/12/2023,18086
1/12/2023,12188
1/12/2023,19294
1/16/2023,3976
1/16/2023,995
1/16/2023,16405
1/16/2023,20225
1/16/2023,4125
1/16/2023,4074
1/16/2023,1036
1/16/2023,24370
1/16/2023,8169
1/16/2023,1011
1/16/2023,3976
1/16/2023,4119
1/16/2023,18417
1/16/2023,14102
1/17/2023,9554
1/17/2023,12736
1/17/2023,3185
1/23/2023,3187
1/23/2023,4780
1/23/2023,12742
1/23/2023,4781
1/25/2023,1060
1/25/2023,9117
1/25/2023,16290
1/25/2023,4033
1/25/2023,4078
1/25/2023,20164
1/26/2023,1592
1/26/2023,4780
1/26/2023,17522
1/26/2023,1593
1/26/2023,2935
1/26/2023,18023
1/26/2023,4027
1/26/2023,7153
1/26/2023,9078
1/26/2023,3936
1/26/2023,994
1/26/2023,7157
1/26/2023,11850
1/26/2023,5105
1/28/2023,6373
1/28/2023,6373
1/28/2023,6372
1/28/2023,3186
1/28/2023,1594
1/28/2023,11153
1/28/2023,4781
1/28/2023,4782
1/28/2023,4777
1/28/2023,1593
1/28/2023,6370
1/31/2023,1592
1/31/2023,5371
1/31/2023,4780
1/31/2023,4779
1/31/2023,4778
1/31/2023,6371
2/7/2023,17514
2/7/2023,3187
2/7/2023,4778
2/7/2023,7960
2/7/2023,1591
2/7/2023,6370
2/7/2023,9555
2/8/2023,15922
2/8/2023,1590
2/8/2023,4777
2/8/2023,4774
2/8/2023,1592
2/8/2023,6370
2/8/2023,9555
2/8/2023,6372
2/8/2023,5083
2/8/2023,4022
2/8/2023,2035
2/8/2023,12256
2/8/2023,4169
2/8/2023,5071
2/8/2023,2082
2/8/2023,14295
2/8/2023,9194
2/8/2023,7112
2/8/2023,4164
2/8/2023,10187
2/8/2023,11208
2/8/2023,3078
2/8/2023,5039
2/13/2023,9565
2/13/2023,12756
2/13/2023,4786
2/13/2023,15943
2/13/2023,3188
2/13/2023,15947
2/13/2023,7975
2/13/2023,14343
2/13/2023,1594
2/13/2023,14350
2/13/2023,1591
2/13/2023,1591
2/13/2023,7965
2/13/2023,7963
2/13/2023,6374
2/13/2023,4775
2/13/2023,1592
2/13/2023,12739
2/13/2023,1594
2/13/2023,9550
2/13/2023,9552
2/15/2023,27001
2/15/2023,2999
2/16/2023,1027
2/16/2023,5054
2/16/2023,23731
2/16/2023,26767
2/16/2023,3067
2/16/2023,1013
2/16/2023,13217
2/16/2023,17010
2/16/2023,1013
2/16/2023,30127
2/20/2023,3190
2/20/2023,4785
2/20/2023,3188
2/20/2023,1594
2/20/2023,11160
2/20/2023,1594
2/20/2023,1594
2/20/2023,17532
2/20/2023,6379
2/20/2023,15945
2/20/2023,1594
2/20/2023,9565
2/20/2023,12753
2/21/2023,4783
2/21/2023,4786
2/21/2023,6378
2/21/2023,7969
2/21/2023,15943
2/21/2023,9573
2/21/2023,11166
2/21/2023,9566
2/21/2023,1596
2/21/2023,12756
2/27/2023,4782
2/27/2023,3187
2/27/2023,12744
2/27/2023,6372
2/27/2023,14342
2/28/2023,1594
2/28/2023,14348
2/28/2023,3189
2/28/2023,11158
2/28/2023,7969
3/1/2023,3186
3/1/2023,9564
3/3/2023,1594
3/3/2023,17525
3/3/2023,4777
3/3/2023,1596
3/3/2023,9568
3/3/2023,7962
3/4/2023,1595
3/4/2023,15941
3/4/2023,9560
3/4/2023,12741
3/4/2023,4782
3/8/2023,14348
3/8/2023,19123
3/8/2023,6376
3/8/2023,3186
3/8/2023,4785
3/8/2023,17531
3/8/2023,4780
3/8/2023,7967
3/8/2023,1594
3/8/2023,11154
3/8/2023,9566
3/8/2023,2990
3/8/2023,11868
3/8/2023,9911
3/8/2023,23236
3/8/2023,1995
3/9/2023,6377
3/9/2023,9564
3/9/2023,17528
3/9/2023,4781
3/10/2023,1594
3/10/2023,1595
3/10/2023,11154
3/15/2023,17536
3/15/2023,3187
3/15/2023,1592
3/15/2023,9565
3/15/2023,12746
3/15/2023,17528
3/15/2023,3185
3/15/2023,1594
3/15/2023,14346
3/15/2023,4780
3/15/2023,14345
3/15/2023,1594
3/15/2023,7967
3/15/2023,17530
3/15/2023,9559
3/15/2023,3187
3/15/2023,4780
3/15/2023,9559
3/15/2023,9561
3/15/2023,11158
3/17/2023,16648
3/17/2023,16648
3/17/2023,4083
3/17/2023,1028
3/17/2023,7059
3/17/2023,17067
3/17/2023,4115
